"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C2";"C2";2;"100n";;;
2;"C3,C4";"C2";2;"10u";;;
3;"P1,P2";"SIL-1";2;"CONN_1";;;
4;"K1,K2,K4,K3";"SIL-3";4;"CONN_3";;;
5;"D2,D1,D4,D3";"D3";4;"1n914";;;
6;"P3";"SIL-10";1;"ads1115 breakout";;;
7;"P4,P5";"1pin";2;"CONN_1";;;
8;"R15,R12,R5,R13";"R4-LARGE_PADS";4;"10k";;;
9;"R6";"R4-LARGE_PADS";1;"100k";;;
10;"R11,R7,R8,R9,R10";"R4-LARGE_PADS";5;"1M";;;
11;"R1,R4,R2,R3";"R4-LARGE_PADS";4;"100K";;;
12;"R14";"R4-LARGE_PADS";1;"0R";;;
13;"M1";"Arduino";1;"Arduino";;;
